,state,colonies_number,yield_per_colony,production,average_price,year
870,Virginia,6000,38,50000,553.0,2015
871,Washington,73000,44,1221000,180.0,2015
872,WestVirginia,5000,35,32000,444.0,2015
873,Wisconsin,52000,67,1603000,243.0,2015
874,Wyoming,38000,77,146000,190.0,2015
875,Alabama,7000,52,33000,345.0,2016
876,Arizona,27000,46,261000,197.0,2016
877,Arkansas,24000,69,99000,185.0,2016
878,California,310000,36,2009000,204.0,2016
879,Colorado,32000,40,282000,224.0,2016
880,Florida,215000,50,538000,243.0,2016
881,Georgia,96000,39,899000,269.0,2016
882,Hawaii,16000,113,127000,231.0,2016
883,Idaho,97000,34,1253000,182.0,2016
884,Illinois,10000,48,77000,542.0,2016
885,Indiana,7000,62,208000,346.0,2016
886,Iowa,37000,48,746000,208.0,2016
887,Kansas,7000,48,54000,304.0,2016
888,Kentucky,5000,46,48000,402.0,2016
889,Louisiana,50000,86,301000,194.0,2016
890,Maine,12000,34,65000,338.0,2016
891,Michigan,89000,60,1709000,237.0,2016
892,Minnesota,124000,59,1390000,169.0,2016
893,Mississippi,19000,85,113000,173.0,2016
894,Missouri,8000,62,30000,231.0,2016
895,Montana,159000,77,3183000,177.0,2016
896,Nebraska,48000,46,640000,191.0,2016
897,NewJersey,12000,27,198000,709.0,2016
898,NewYork,64000,57,1167000,319.0,2016
899,NorthCarolina,12000,37,89000,478.0,2016
900,NorthDakota,485000,78,6809000,185.0,2016
901,Ohio,15000,79,664000,393.0,2016
902,Oregon,74000,35,622000,191.0,2016
903,Pennsylvania,19000,50,266000,303.0,2016
904,SouthCarolina,16000,45,36000,457.0,2016
905,SouthDakota,280000,71,12127000,176.0,2016
906,Tennessee,6000,55,69000,488.0,2016
907,Texas,133000,70,2607000,208.0,2016
908,Utah,31000,32,169000,193.0,2016
909,Vermont,6000,52,69000,364.0,2016
910,Virginia,5000,38,30000,585.0,2016
911,Washington,84000,35,412000,199.0,2016
912,WestVirginia,5000,32,43000,392.0,2016
913,Wisconsin,54000,62,1205000,267.0,2016
914,Wyoming,40000,68,190000,178.0,2016
915,Alabama,7000,45,22000,288.0,2017
916,Arizona,22000,40,97000,199.0,2017
917,Arkansas,29000,68,197000,197.0,2017
918,California,335000,41,2198000,216.0,2017
919,Colorado,33000,43,284000,209.0,2017
920,Florida,205000,43,529000,237.0,2017
921,Georgia,99000,32,190000,300.0,2017
922,Hawaii,19000,131,25000,153.0,2017
923,Idaho,95000,44,1045000,179.0,2017
924,Illinois,11000,46,167000,509.0,2017
925,Indiana,8000,52,158000,361.0,2017
926,Iowa,35000,58,1035000,226.0,2017
927,Kansas,7000,79,260000,403.0,2017
928,Kentucky,5000,38,42000,413.0,2017
929,Louisiana,43000,81,279000,193.0,2017
930,Maine,12000,33,51000,500.0,2017
931,Michigan,87000,45,822000,242.0,2017
932,Minnesota,126000,62,1016000,193.0,2017
933,Mississippi,18000,86,124000,182.0,2017
934,Missouri,8000,65,57000,370.0,2017
935,Montana,145000,72,2506000,221.0,2017
936,Nebraska,42000,63,423000,191.0,2017
937,NewJersey,13000,28,167000,874.0,2017
938,NewYork,57000,56,766000,303.0,2017
939,NorthCarolina,11000,41,99000,458.0,2017
940,NorthDakota,455000,74,4377000,191.0,2017
941,Ohio,15000,73,657000,324.0,2017
942,Oregon,78000,40,998000,210.0,2017
943,Pennsylvania,16000,46,177000,351.0,2017
944,SouthCarolina,16000,34,27000,270.0,2017
945,SouthDakota,255000,57,6541000,207.0,2017
946,Tennessee,7000,41,75000,457.0,2017
947,Texas,120000,66,2297000,217.0,2017
948,Utah,27000,31,67000,208.0,2017
949,Vermont,7000,54,144000,402.0,2017
950,Virginia,6000,35,46000,577.0,2017
951,Washington,77000,45,1594000,244.0,2017
952,WestVirginia,6000,40,50000,393.0,2017
953,Wisconsin,53000,56,683000,282.0,2017
954,Wyoming,39000,53,186000,161.0,2017
955,Alabama,6000,45,14000,3.72,2018
956,Arizona,24000,38,109000,3.01,2018
957,Arkansas,28000,50,84000,1.88,2018
958,California,335000,41,3022000,2.11,2018
959,Colorado,31000,48,283000,2.05,2018
960,Florida,215000,49,737000,2.4,2018
961,Georgia,98000,34,200000,2.76,2018
962,Hawaii,17000,103,18000,1.92,2018
963,Idaho,96000,31,655000,1.96,2018
964,Illinois,11000,41,108000,4.83,2018
965,Indiana,7000,46,106000,3.58,2018
966,Iowa,38000,49,1005000,2.4,2018
967,Kansas,5000,73,95000,3.1,2018
968,Kentucky,4000,41,34000,5.43,2018
969,Louisiana,45000,83,261000,1.91,2018
970,Maine,12000,32,92000,2.98,2018
971,Michigan,97000,44,768000,2.49,2018
972,Minnesota,119000,61,1161000,1.94,2018
973,Mississippi,20000,87,70000,2.07,2018
974,Missouri,9000,45,36000,2.83,2018
975,Montana,160000,92,3680000,1.9,2018
976,Nebraska,40000,59,850000,2.01,2018
977,NewJersey,13000,31,165000,7.47,2018
978,NewYork,56000,48,833000,3.24,2018
979,NorthCarolina,10000,33,63000,5.76,2018
980,NorthDakota,550000,72,4752000,1.87,2018
981,Ohio,14000,73,491000,3.72,2018
982,Oregon,93000,35,1009000,2.36,2018
983,Pennsylvania,19000,44,309000,3.89,2018
984,SouthCarolina,16000,48,15000,3.17,2018
985,SouthDakota,255000,47,5154000,1.91,2018
986,Tennessee,7000,46,84000,4.11,2018
987,Texas,132000,56,1035000,2.12,2018
988,Utah,26000,41,75000,2.1,2018
989,Vermont,7000,48,94000,3.76,2018
990,Virginia,4000,40,35000,7.24,2018
991,Washington,77000,43,563000,2.15,2018
992,WestVirginia,6000,37,38000,4.33,2018
993,Wisconsin,51000,45,711000,2.95,2018
994,Wyoming,39000,56,175000,1.91,2018
995,Alabama,7000,42,44000,3.38,2019
996,Arizona,23000,46,201000,2.04,2019
997,Arkansas,20000,55,176000,1.65,2019
998,California,335000,48,3216000,1.6,2019
999,Colorado,32000,46,500000,2.34,2019
1000,Florida,205000,45,830000,2.46,2019
1001,Georgia,102000,33,370000,2.67,2019
1002,Hawaii,16000,80,51000,1.3,2019
1003,Idaho,92000,32,677000,1.62,2019
1004,Illinois,11000,39,116000,4.12,2019
1005,Indiana,9000,55,188000,3.78,2019
1006,Iowa,38000,55,1170000,2.35,2019
1007,Kansas,7000,79,171000,2.35,2019
1008,Kentucky,6000,41,44000,4.66,2019
1009,Louisiana,54000,72,428000,2.15,2019
1010,Maine,15000,35,110000,3.28,2019
1011,Michigan,94000,50,1363000,2.56,2019
1012,Minnesota,118000,59,3063000,1.83,2019
1013,Mississippi,22000,80,141000,1.87,2019
1014,Missouri,10000,43,73000,3.35,2019
1015,Montana,173000,86,5802000,1.49,2019
1016,Nebraska,39000,52,223000,1.44,2019
1017,NewJersey,15000,28,155000,4.68,2019
1018,NewYork,59000,58,1027000,4.0,2019
1019,NorthCarolina,14000,42,118000,4.11,2019
1020,NorthDakota,520000,65,6422000,1.43,2019
1021,Ohio,15000,67,442000,3.46,2019
1022,Oregon,87000,32,1141000,2.5,2019
1023,Pennsylvania,19000,50,409000,4.41,2019
1024,SouthCarolina,16000,47,45000,5.03,2019
1025,SouthDakota,270000,72,7582000,1.56,2019
1026,Tennessee,8000,57,91000,4.72,2019
1027,Texas,126000,60,1663000,2.32,2019
1028,Utah,22000,29,89000,1.97,2019
1029,Vermont,6000,48,84000,4.48,2019
1030,Virginia,5000,39,49000,7.19,2019
1031,Washington,81000,35,1191000,2.18,2019
1032,WestVirginia,6000,37,47000,4.26,2019
1033,Wisconsin,46000,47,692000,3.0,2019
1034,Wyoming,39000,56,306000,1.43,2019
1035,Alabama,7000,39,66000,5.52,2020
1036,Arizona,25000,36,360000,2.38,2020
1037,Arkansas,20000,49,176000,1.85,2020
1038,California,320000,43,2752000,1.95,2020
1039,Colorado,30000,41,455000,2.39,2020
1040,Florida,192000,46,883000,2.24,2020
1041,Georgia,101000,34,412000,2.52,2020
1042,Hawaii,15000,105,79000,1.7,2020
1043,Idaho,107000,35,637000,1.76,2020
1044,Illinois,10000,52,156000,5.65,2020
1045,Indiana,9000,55,149000,3.91,2020
1046,Iowa,35000,58,1259000,2.54,2020
1047,Kansas,8000,62,164000,3.25,2020
1048,Kentucky,7000,33,58000,5.76,2020
1049,Louisiana,33000,69,228000,2.46,2020
1050,Maine,10000,30,78000,3.36,2020
1051,Michigan,95000,47,1384000,2.95,2020
1052,Minnesota,108000,55,2495000,1.8,2020
1053,Mississippi,25000,73,146000,1.99,2020
1054,Missouri,9000,41,100000,3.59,2020
1055,Montana,110000,81,3208000,1.61,2020
1056,Nebraska,37000,52,250000,1.69,2020
1057,NewJersey,14000,31,91000,4.32,2020
1058,NewYork,58000,56,844000,3.13,2020
1059,NorthCarolina,12000,38,123000,5.5,2020
1060,NorthDakota,495000,78,8108000,1.59,2020
1061,Ohio,16000,75,576000,3.5,2020
1062,Oregon,95000,29,1102000,2.4,2020
1063,Pennsylvania,19000,48,392000,4.12,2020
1064,SouthCarolina,16000,46,66000,3.44,2020
1065,SouthDakota,245000,61,8668000,1.77,2020
1066,Tennessee,7000,51,54000,4.23,2020
1067,Texas,157000,57,1253000,2.0,2020
1068,Utah,28000,34,171000,2.02,2020
1069,Vermont,6000,47,96000,3.94,2020
1070,Virginia,5000,40,54000,6.03,2020
1071,Washington,98000,37,798000,2.51,2020
1072,WestVirginia,6000,46,58000,3.81,2020
1073,Wisconsin,45000,50,855000,3.11,2020
1074,Wyoming,38000,40,608000,1.71,2020
1075,Alabama,8000,40,112000,5.99,2021
1076,Arizona,26000,40,368000,2.34,2021
1077,Arkansas,17000,50,255000,2.07,2021
1078,California,290000,33,1627000,2.4,2021
1079,Colorado,29000,40,232000,2.78,2021
1080,Florida,193000,44,849000,2.42,2021
1081,Georgia,96000,34,261000,2.73,2021
1082,Hawaii,15000,93,56000,2.21,2021
1083,Idaho,100000,30,270000,2.37,2021
1084,Illinois,10000,46,115000,5.83,2021
1085,Indiana,10000,52,177000,3.89,2021
1086,Iowa,38000,55,502000,2.46,2021
1087,Kansas,7000,42,144000,2.74,2021
1088,Kentucky,7000,37,73000,4.6,2021
1089,Louisiana,37000,58,205000,2.5,2021
1090,Maine,11000,34,60000,3.18,2021
1091,Michigan,101000,51,1957000,2.97,2021
1092,Minnesota,125000,57,285000,2.32,2021
1093,Mississippi,25000,71,71000,2.77,2021
1094,Missouri,8000,35,92000,3.99,2021
1095,Montana,117000,57,1934000,2.17,2021
1096,Nebraska,39000,47,550000,2.17,2021
1097,NewJersey,15000,35,158000,3.27,2021
1098,NewYork,57000,53,665000,4.15,2021
1099,NorthCarolina,13000,39,104000,6.84,2021
1100,NorthDakota,515000,55,2266000,2.19,2021
1101,Ohio,16000,64,389000,3.7,2021
1102,Oregon,86000,31,693000,2.14,2021
1103,Pennsylvania,20000,42,336000,3.4,2021
1104,SouthCarolina,16000,42,67000,5.32,2021
1105,SouthDakota,250000,49,5268000,2.27,2021
1106,Tennessee,8000,56,81000,5.0,2021
1107,Texas,137000,56,384000,2.3,2021
1108,Utah,31000,33,92000,2.18,2021
1109,Vermont,7000,47,76000,3.28,2021
1110,Virginia,6000,40,79000,8.23,2021
1111,Washington,96000,32,1206000,2.52,2021
1112,WestVirginia,6000,43,136000,4.8,2021
1113,Wisconsin,42000,47,750000,2.81,2021
1114,Wyoming,38000,58,242000,2.07,2021
