,state,colonies_number,yield_per_colony,production,average_price,year
503,SouthDakota,225000,47,10575000,82.0,2006
504,Tennessee,7000,55,385000,184.0,2006
505,Texas,82000,70,5740000,87.0,2006
506,Utah,23000,50,1150000,105.0,2006
507,Vermont,6000,56,336000,121.0,2006
508,Virginia,8000,42,336000,219.0,2006
509,Washington,49000,52,2548000,119.0,2006
510,WestVirginia,5000,42,210000,195.0,2006
511,Wisconsin,64000,93,5952000,114.0,2006
512,Wyoming,39000,85,3315000,88.0,2006
513,Alabama,11000,56,616000,141.0,2007
514,Arizona,30000,64,1920000,118.0,2007
515,Arkansas,28000,80,2240000,95.0,2007
516,California,340000,40,13600000,104.0,2007
517,Colorado,33000,51,1683000,112.0,2007
518,Florida,160000,71,11360000,99.0,2007
519,Georgia,60000,58,3480000,114.0,2007
520,Hawaii,10000,92,920000,158.0,2007
521,Idaho,92000,41,3772000,108.0,2007
522,Illinois,9000,63,567000,240.0,2007
523,Indiana,7000,51,357000,139.0,2007
524,Iowa,26000,81,2106000,126.0,2007
525,Kansas,14000,40,560000,112.0,2007
526,Kentucky,4000,61,244000,208.0,2007
527,Louisiana,29000,89,2581000,108.0,2007
528,Maine,9000,26,234000,139.0,2007
529,Michigan,72000,64,4608000,114.0,2007
530,Minnesota,130000,68,8840000,99.0,2007
531,Mississippi,15000,105,1575000,90.0,2007
532,Missouri,13000,47,611000,105.0,2007
533,Montana,135000,68,9180000,94.0,2007
534,Nebraska,45000,49,2205000,98.0,2007
535,Nevada,10000,28,280000,360.0,2007
536,NewJersey,9000,57,513000,217.0,2007
537,NewMexico,6000,59,354000,136.0,2007
538,NewYork,56000,57,3192000,142.0,2007
539,NorthCarolina,11000,45,495000,225.0,2007
540,NorthDakota,420000,74,31080000,92.0,2007
541,Ohio,14000,61,854000,175.0,2007
542,Oregon,44000,43,1892000,121.0,2007
543,Pennsylvania,25000,42,1050000,163.0,2007
544,SouthDakota,255000,52,13260000,93.0,2007
545,Tennessee,7000,65,455000,195.0,2007
546,Texas,105000,82,8610000,95.0,2007
547,Utah,25000,39,975000,112.0,2007
548,Vermont,5000,64,320000,126.0,2007
549,Virginia,6000,46,276000,235.0,2007
550,Washington,46000,44,2024000,125.0,2007
551,WestVirginia,5000,48,240000,196.0,2007
552,Wisconsin,60000,84,5040000,115.0,2007
553,Wyoming,43000,80,3440000,103.0,2007
554,Alabama,9000,66,594000,186.0,2008
555,Arizona,25000,64,1600000,125.0,2008
556,Arkansas,28000,75,2100000,131.0,2008
557,California,360000,51,18360000,141.0,2008
558,Colorado,27000,45,1215000,150.0,2008
559,Florida,150000,79,11850000,130.0,2008
560,Georgia,55000,71,3905000,149.0,2008
561,Hawaii,10000,90,900000,148.0,2008
562,Idaho,90000,40,3600000,142.0,2008
563,Illinois,8000,56,448000,246.0,2008
564,Indiana,6000,67,402000,161.0,2008
565,Iowa,24000,62,1488000,156.0,2008
566,Kansas,10000,61,610000,152.0,2008
567,Kentucky,4000,39,156000,236.0,2008
568,Louisiana,29000,77,2233000,133.0,2008
569,Maine,7000,42,294000,150.0,2008
570,Michigan,71000,73,5183000,143.0,2008
571,Minnesota,122000,78,9516000,139.0,2008
572,Mississippi,14000,98,1372000,130.0,2008
573,Missouri,11000,53,583000,178.0,2008
574,Montana,134000,70,9380000,137.0,2008
575,Nebraska,36000,67,2412000,142.0,2008
576,Nevada,10000,29,290000,237.0,2008
577,NewJersey,9000,40,360000,158.0,2008
578,NewMexico,6000,48,288000,148.0,2008
579,NewYork,50000,70,3500000,150.0,2008
580,NorthCarolina,12000,52,624000,212.0,2008
581,NorthDakota,390000,90,35100000,135.0,2008
582,Ohio,14000,53,742000,188.0,2008
583,Oregon,50000,43,2150000,148.0,2008
584,Pennsylvania,23000,48,1104000,165.0,2008
585,SouthDakota,225000,95,21375000,134.0,2008
586,Tennessee,7000,61,427000,204.0,2008
587,Texas,77000,64,4928000,134.0,2008
588,Utah,28000,48,1344000,156.0,2008
589,Vermont,5000,66,330000,179.0,2008
590,Virginia,6000,42,252000,218.0,2008
591,Washington,41000,44,1804000,150.0,2008
592,WestVirginia,6000,43,258000,198.0,2008
593,Wisconsin,58000,80,4640000,140.0,2008
594,Wyoming,39000,61,2379000,137.0,2008
595,Alabama,9000,49,441000,182.0,2009
596,Arizona,20000,52,1040000,153.0,2009
597,Arkansas,24000,57,1368000,139.0,2009
598,California,355000,33,11715000,139.0,2009
599,Colorado,28000,53,1484000,140.0,2009
600,Florida,150000,68,10200000,138.0,2009
601,Georgia,65000,41,2665000,147.0,2009
602,Hawaii,10000,95,950000,163.0,2009
603,Idaho,103000,46,4738000,145.0,2009
604,Illinois,8000,34,272000,226.0,2009
605,Indiana,9000,32,288000,198.0,2009
606,Iowa,26000,42,1092000,151.0,2009
607,Kansas,9000,63,567000,189.0,2009
608,Kentucky,5000,35,175000,273.0,2009
609,Louisiana,37000,103,3811000,132.0,2009
610,Maine,6000,50,300000,186.0,2009
611,Michigan,66000,60,3960000,151.0,2009
612,Minnesota,122000,65,7930000,140.0,2009
613,Mississippi,14000,104,1456000,132.0,2009
614,Missouri,11000,47,517000,198.0,2009
615,Montana,146000,70,10220000,145.0,2009
616,Nebraska,48000,56,2688000,144.0,2009
617,Nevada,10000,52,520000,129.0,2009
618,NewJersey,9000,32,288000,193.0,2009
619,NewMexico,7000,60,420000,163.0,2009
620,NewYork,47000,65,3055000,183.0,2009
621,NorthCarolina,11000,45,495000,252.0,2009
622,NorthDakota,450000,77,34650000,137.0,2009
623,Ohio,11000,50,550000,275.0,2009
624,Oregon,55000,34,1870000,149.0,2009
625,Pennsylvania,21000,40,840000,199.0,2009
626,SouthDakota,270000,66,17820000,139.0,2009
627,Tennessee,7000,51,357000,235.0,2009
628,Texas,74000,63,4662000,138.0,2009
629,Utah,26000,38,988000,147.0,2009
630,Vermont,5000,49,245000,236.0,2009
631,Virginia,6000,39,234000,328.0,2009
632,Washington,62000,44,2728000,149.0,2009
633,WestVirginia,5000,37,185000,267.0,2009
634,Wisconsin,63000,60,3780000,151.0,2009
635,Wyoming,37000,48,1776000,143.0,2009
636,Alabama,9000,54,73000,240.0,2010
637,Arizona,24000,77,665000,152.0,2010
638,Arkansas,25000,60,360000,147.0,2010
639,California,410000,67,6318000,155.0,2010
640,Colorado,34000,56,533000,152.0,2010
641,Florida,200000,69,1794000,156.0,2010
642,Georgia,55000,46,152000,167.0,2010
643,Hawaii,10000,77,239000,275.0,2010
644,Idaho,97000,27,1179000,161.0,2010
645,Illinois,9000,41,92000,278.0,2010
646,Indiana,10000,43,151000,223.0,2010
647,Iowa,27000,49,463000,192.0,2010
648,Kansas,9000,52,103000,202.0,2010
649,Kentucky,5000,67,67000,272.0,2010
650,Louisiana,36000,80,288000,150.0,2010
651,Maine,5000,41,33000,205.0,2010
652,Michigan,71000,58,1524000,167.0,2010
653,Minnesota,128000,66,1774000,155.0,2010
654,Mississippi,16000,98,78000,144.0,2010
655,Missouri,11000,52,92000,180.0,2010
656,Montana,157000,74,2905000,158.0,2010
657,Nebraska,41000,55,902000,151.0,2010
658,NewJersey,13000,35,73000,190.0,2010
659,NewMexico,7000,66,157000,158.0,2010
660,NewYork,45000,64,1123000,196.0,2010
661,NorthCarolina,13000,46,144000,266.0,2010
662,NorthDakota,510000,91,12995000,150.0,2010
663,Ohio,18000,62,346000,228.0,2010
664,Oregon,59000,39,874000,163.0,2010
665,Pennsylvania,30000,37,377000,213.0,2010
666,SouthDakota,265000,58,4765000,151.0,2010
667,Tennessee,8000,63,106000,250.0,2010
668,Texas,100000,72,792000,151.0,2010
669,Utah,26000,30,195000,153.0,2010
670,Vermont,4000,65,73000,310.0,2010
671,Virginia,5000,37,37000,332.0,2010
672,Washington,71000,37,1077000,157.0,2010
673,WestVirginia,5000,40,40000,239.0,2010
674,Wisconsin,64000,64,1556000,168.0,2010
675,Wyoming,34000,36,282000,159.0,2010
676,Alabama,9000,50,63000,251.0,2011
677,Arizona,23000,53,427000,155.0,2011
678,Arkansas,22000,64,239000,162.0,2011
679,California,370000,48,3730000,165.0,2011
680,Colorado,31000,55,443000,200.0,2011
681,Florida,180000,61,988000,168.0,2011
682,Georgia,65000,43,196000,165.0,2011
683,Hawaii,9000,74,246000,365.0,2011
684,Idaho,87000,36,1879000,178.0,2011
685,Illinois,7000,50,98000,390.0,2011
686,Indiana,8000,51,147000,214.0,2011
687,Iowa,25000,62,961000,196.0,2011
688,Kansas,7000,44,117000,215.0,2011
689,Kentucky,4000,39,12000,317.0,2011
690,Louisiana,36000,77,471000,167.0,2011
691,Maine,4000,30,17000,198.0,2011
692,Michigan,74000,64,2084000,181.0,2011
693,Minnesota,120000,53,2099000,163.0,2011
694,Mississippi,18000,115,104000,153.0,2011
695,Missouri,8000,43,76000,214.0,2011
696,Montana,145000,92,3202000,170.0,2011
697,Nebraska,41000,59,653000,175.0,2011
698,NewJersey,11000,41,135000,370.0,2011
699,NewMexico,7000,56,153000,169.0,2011
700,NewYork,49000,56,1235000,196.0,2011
701,NorthCarolina,14000,62,95000,283.0,2011
702,NorthDakota,460000,71,7512000,167.0,2011
703,Ohio,15000,66,228000,234.0,2011
704,Oregon,60000,34,755000,168.0,2011
705,Pennsylvania,24000,44,306000,255.0,2011
706,SouthDakota,250000,66,4290000,170.0,2011
707,Tennessee,7000,44,68000,293.0,2011
708,Texas,78000,58,633000,178.0,2011
709,Utah,23000,39,170000,175.0,2011
710,Vermont,4000,43,43000,231.0,2011
711,Virginia,4000,40,21000,407.0,2011
712,Washington,71000,38,836000,193.0,2011
713,WestVirginia,4000,53,45000,257.0,2011
714,Wisconsin,57000,63,1508000,189.0,2011
715,Wyoming,35000,54,265000,172.0,2011
716,Alabama,8000,54,65000,247.0,2012
717,Arizona,22000,46,253000,179.0,2012
718,Arkansas,25000,63,189000,198.0,2012
719,California,330000,35,3119000,194.0,2012
720,Colorado,25000,48,468000,207.0,2012
721,Florida,193000,64,1235000,184.0,2012
722,Georgia,59000,51,181000,192.0,2012
723,Hawaii,10000,75,263000,415.0,2012
724,Idaho,92000,32,530000,163.0,2012
725,Illinois,7000,61,145000,355.0,2012
726,Indiana,8000,59,203000,254.0,2012
727,Iowa,37000,61,1196000,217.0,2012
728,Kansas,6000,55,125000,228.0,2012
729,Kentucky,5000,51,41000,315.0,2012
730,Louisiana,41000,86,141000,183.0,2012
731,Maine,4000,34,24000,239.0,2012
732,Michigan,73000,57,1332000,203.0,2012
733,Minnesota,125000,67,1591000,192.0,2012
